Year ended March,Measure,Region,Region Code,Value,Value Unit,Value Label,Null Reason,Metadata 1
2009,Regional GDP per person,North Island,Total North Island,45010,nzd,NZD per person,
2009,Regional GDP per person,South Island,Total South Island,41793,nzd,NZD per person,,Revised
2009,Regional GDP per person,New Zealand,Total New Zealand,44242,nzd,NZD per person,
2010,Regional GDP per person,Northland,Northland Region,30729,nzd,NZD per person,,Revised
2010,Regional GDP per person,Auckland,Auckland Region,47814,nzd,NZD per person,,Revised
2010,Regional GDP per person,Waikato,Waikato Region,40034,nzd,NZD per person,,Revised
2010,Regional GDP per person,Bay of Plenty,Bay of Plenty Region,36769,nzd,NZD per person,,Revised
2010,Regional GDP per person,Gisborne,Gisborne Region,31186,nzd,NZD per person,,Revised
2010,Regional GDP per person,Hawke's Bay,Hawke's Bay Region,35867,nzd,NZD per person,,Revised
2010,Regional GDP per person,Taranaki,Taranaki Region,75352,nzd,NZD per person,,Revised
2010,Regional GDP per person,Manawatū-Whanganui,Manawatu-Wanganui Region,35469,nzd,NZD per person,,Revised
2010,Regional GDP per person,Wellington,Wellington Region,56823,nzd,NZD per person,,Revised
2010,Regional GDP per person,West Coast,West Coast Region,44525,nzd,NZD per person,,Revised
2010,Regional GDP per person,Canterbury,Canterbury Region,42278,nzd,NZD per person,,Revised
2010,Regional GDP per person,Otago,Otago Region,41365,nzd,NZD per person,,Revised
2010,Regional GDP per person,Southland,Southland Region,47898,nzd,NZD per person,,Revised
2010,Regional GDP per person,Marlborough,Marlborough Region,43461,nzd,NZD per person,,Revised
2010,Regional GDP per person,"Nelson, Tasman","Tasman, Nelson",37889,nzd,NZD per person,,Revised
2010,Regional GDP per person,North Island,Total North Island,45666,nzd,NZD per person,,Revised
2010,Regional GDP per person,South Island,Total South Island,42336,nzd,NZD per person,,Revised
2010,Regional GDP per person,New Zealand,Total New Zealand,44870,nzd,NZD per person,
2011,Regional GDP per person,Northland,Northland Region,32529,nzd,NZD per person,,Revised
2011,Regional GDP per person,Auckland,Auckland Region,49207,nzd,NZD per person,
2011,Regional GDP per person,Waikato,Waikato Region,41895,nzd,NZD per person,,Revised
2011,Regional GDP per person,Bay of Plenty,Bay of Plenty Region,38773,nzd,NZD per person,,Revised
2011,Regional GDP per person,Gisborne,Gisborne Region,32744,nzd,NZD per person,,Revised
2011,Regional GDP per person,Hawke's Bay,Hawke's Bay Region,37778,nzd,NZD per person,,Revised
2011,Regional GDP per person,Taranaki,Taranaki Region,77751,nzd,NZD per person,,Revised
2011,Regional GDP per person,Manawatū-Whanganui,Manawatu-Wanganui Region,37070,nzd,NZD per person,,Revised
2011,Regional GDP per person,Wellington,Wellington Region,57667,nzd,NZD per person,,Revised
2011,Regional GDP per person,West Coast,West Coast Region,47130,nzd,NZD per person,,Revised
2011,Regional GDP per person,Canterbury,Canterbury Region,44518,nzd,NZD per person,,Revised
2011,Regional GDP per person,Otago,Otago Region,42781,nzd,NZD per person,,Revised
2011,Regional GDP per person,Southland,Southland Region,51294,nzd,NZD per person,,Revised
2011,Regional GDP per person,Marlborough,Marlborough Region,44014,nzd,NZD per person,,Revised
2011,Regional GDP per person,"Nelson, Tasman","Tasman, Nelson",39096,nzd,NZD per person,,Revised
2011,Regional GDP per person,North Island,Total North Island,47185,nzd,NZD per person,
2011,Regional GDP per person,South Island,Total South Island,44361,nzd,NZD per person,
2011,Regional GDP per person,New Zealand,Total New Zealand,46514,nzd,NZD per person,
2012,Regional GDP per person,Northland,Northland Region,32958,nzd,NZD per person,,Revised
2012,Regional GDP per person,Auckland,Auckland Region,51296,nzd,NZD per person,,Revised
2012,Regional GDP per person,Waikato,Waikato Region,44338,nzd,NZD per person,,Revised
2012,Regional GDP per person,Bay of Plenty,Bay of Plenty Region,40271,nzd,NZD per person,,Revised
2012,Regional GDP per person,Gisborne,Gisborne Region,33669,nzd,NZD per person,,Revised
2012,Regional GDP per person,Hawke's Bay,Hawke's Bay Region,38639,nzd,NZD per person,,Revised
2012,Regional GDP per person,Taranaki,Taranaki Region,76757,nzd,NZD per person,,Revised
2012,Regional GDP per person,Manawatū-Whanganui,Manawatu-Wanganui Region,37668,nzd,NZD per person,,Revised
2012,Regional GDP per person,Wellington,Wellington Region,60452,nzd,NZD per person,,Revised
2012,Regional GDP per person,West Coast,West Coast Region,50215,nzd,NZD per person,,Revised
2012,Regional GDP per person,Canterbury,Canterbury Region,47432,nzd,NZD per person,,Revised
2012,Regional GDP per person,Otago,Otago Region,44098,nzd,NZD per person,,Revised
